,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price_£,subject
440,The Industry and Profession in Construction Management,"The University of Maryland, College Park University System of Maryland",https://www.edx.org/learn/construction/the-university-of-maryland-college-park-the-industry-and-profession-in-construction-management?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=9&results_level=second-level-results&term=&objectID=course-6e6e0f90-67b7-4179-b07b-5f0a69c9060f&campaign=The+Industry+and+Profession+in+Construction+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 24,7758,Self-paced,193,Engineering
441,Global Public Health,SDG Academy,https://www.edx.org/learn/public-health/sdg-academy-global-public-health?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=10&results_level=second-level-results&term=&objectID=course-e4315d22-de5d-4574-951a-be74baa8a8fa&campaign=Global+Public+Health&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,4–6 hours per week,Starts Jul 24,34940,Self-paced,0,Health & Safety
442,Teaching Critical Thinking through Art with the National Gallery of Art,The Smithsonian Institution,https://www.edx.org/learn/critical-thinking-skills/the-smithsonian-institution-teaching-critical-thinking-through-art-with-the-national-gallery-of-art?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=11&results_level=second-level-results&term=&objectID=course-7de4699c-585a-4657-a93d-cc26bd324142&campaign=Teaching+Critical+Thinking+through+Art+with+the+National+Gallery+of+Art&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,16 weeks,3–4 hours per week,Starts Jul 24,33870,Self-paced,92,Education & Teacher Training
443,Solar Energy: Photovoltaic (PV) Systems,Delft University of Technology,https://www.edx.org/learn/solar-energy/delft-university-of-technology-solar-energy-photovoltaic-pv-systems?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=12&results_level=second-level-results&term=&objectID=course-e6fd007e-0bff-4138-8789-01ee2cfbeb66&campaign=Solar+Energy%3A+Photovoltaic+%28PV%29+Systems&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,11 weeks,10–11 hours per week,Starts Jul 24,36702,Self-paced,194,Engineering
444,Basic Spanish 3: Getting there,Universitat Politècnica de València,https://www.edx.org/learn/spanish/universitat-politecnica-de-valencia-basic-spanish-3-getting-there?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=13&results_level=second-level-results&term=&objectID=course-e2dc9e49-95c6-48d7-affa-b840496bbfff&campaign=Basic+Spanish+3%3A+Getting+there&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–4 hours per week,Starts Jul 24,39784,Self-paced,30,Language
445,Visual Presentation,Rochester Institute of Technology,https://www.edx.org/learn/business-communications/rochester-institute-of-technology-visual-presentation-3?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=14&results_level=second-level-results&term=&objectID=course-a744042d-b4c9-4ef1-8b87-7c0701717b32&campaign=Visual+Presentation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,4–6 hours per week,Starts Jul 24,13419,Self-paced,154,Communication
446,Diseño e innovación de modelo de negocios,Tecnológico de Monterrey,https://www.edx.org/learn/business-model/tecnologico-de-monterrey-diseno-e-innovacion-de-modelo-de-negocios?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=15&results_level=second-level-results&term=&objectID=course-494f37a2-7164-46b6-90db-c4a96705a621&campaign=Dise%C3%B1o+e+innovaci%C3%B3n+de+modelo+de+negocios&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–8 hours per week,Starts Jul 24,18556,Self-paced,92,Business & Management
447,Italian Language and Culture: Advanced (2023-2024),Wellesley College,https://www.edx.org/learn/italian/wellesley-college-italian-language-and-culture-advanced-2023-2024?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=16&results_level=second-level-results&term=&objectID=course-e97a6fe0-9b5d-43c9-a3fd-7e42c37706a2&campaign=Italian+Language+and+Culture%3A+Advanced+%282023-2024%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,3–5 hours per week,Starts Jul 24,40534,Self-paced,46,Language
448,Academic English: How to Write a Thesis,The University of Queensland,https://www.edx.org/learn/english/the-university-of-queensland-academic-english-how-to-write-a-thesis?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=17&results_level=second-level-results&term=&objectID=course-1cbbfd40-68a2-4c95-9ce9-84ee6b28340b&campaign=Academic+English%3A+How+to+Write+a+Thesis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–3 hours per week,Started Feb 21,6343,Instructor-paced,100,Education & Teacher Training
449,C Programming: Language Foundations,Dartmouth College IMT,https://www.edx.org/learn/c-programming/dartmouth-college-c-programming-language-foundations?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=18&results_level=second-level-results&term=&objectID=course-7ef41442-5fa3-42f3-b338-126ae68a8e2c&campaign=C+Programming%3A+Language+Foundations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,70058,Self-paced,77,Computer Science
450,"Women Making History: Ten Objects, Many Stories",Harvard University,https://www.edx.org/learn/history/harvard-university-women-making-history-ten-objects-many-stories?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=19&results_level=second-level-results&term=&objectID=course-fe3bf07f-bc54-49db-b8ff-28eb54692ac6&campaign=Women+Making+History%3A+Ten+Objects%2C+Many+Stories&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–3 hours per week,Starts Jul 24,68728,Self-paced,162,History
451,Finanzas e inversiones para no financieros,Universidad del Rosario,https://www.edx.org/learn/finance/universidad-del-rosario-finanzas-e-inversiones-para-no-financieros?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=20&results_level=second-level-results&term=&objectID=course-0520b187-c97e-4690-b73b-e7c4e3982d47&campaign=Finanzas+e+inversiones+para+no+financieros&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,5229,Self-paced,30,Economics & Finance
452,IoT Systems and Industrial Applications with Design Thinking,École polytechnique fédérale de Lausanne,https://www.edx.org/learn/iot-internet-of-things/ecole-polytechnique-federale-de-lausanne-iot-systems-and-industrial-applications-with-design-thinking?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=21&results_level=second-level-results&term=&objectID=course-3180b8dd-cb72-49a6-9bc6-8a56a960689d&campaign=IoT+Systems+and+Industrial+Applications+with+Design+Thinking&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–4 hours per week,Starts Jul 24,0,Self-paced,131,Engineering
453,Introducción a las finanzas: Principios de valoración,Universidad del Rosario,https://www.edx.org/learn/finance/universidad-del-rosario-introduccion-a-las-finanzas-principios-de-valoracion?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=22&results_level=second-level-results&term=&objectID=course-af903afe-7dca-4e53-9094-c4270e016a47&campaign=Introducci%C3%B3n+a+las+finanzas%3A+Principios+de+valoraci%C3%B3n&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,6–10 hours per week,Starts Jul 24,35541,Self-paced,15,Economics & Finance
454,Circuits for Beginners,The National University of Singapore,https://www.edx.org/learn/circuits/the-national-university-of-singapore-circuits-for-beginners?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=23&results_level=second-level-results&term=&objectID=course-04318dba-8392-47ae-912c-5aa9846e074c&campaign=Circuits+for+Beginners&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 24,10248,Self-paced,108,Engineering
455,Deep Learning with Tensorflow,IBM,https://www.edx.org/learn/deep-learning/ibm-deep-learning-with-tensorflow?index=product&queryID=efbf2a49c1f38d17348b5dded8670328&position=24&results_level=second-level-results&term=&objectID=course-50101caa-3572-4dd7-aa84-01f1d53c8042&campaign=Deep+Learning+with+Tensorflow&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–4 hours per week,Starts Jul 24,52647,Self-paced,77,Data Analysis & Statistics
456,"Inglés empresarial: ventas, gestión y liderazgo",Universidades Anáhuac,https://www.edx.org/learn/english/universidades-anahuac-ingles-empresarial-ventas-gestion-y-liderazgo?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=1&results_level=second-level-results&term=&objectID=course-ea26bd2f-4b0e-4388-b0f8-43f9636eb90b&campaign=Ingl%C3%A9s+empresarial%3A+ventas%2C+gesti%C3%B3n+y+liderazgo&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–8 hours per week,Starts Jul 24,40785,Self-paced,30,Business & Management
457,Circular Economy: An Introduction,Delft University of Technology,https://www.edx.org/learn/circular-economy/delft-university-of-technology-circular-economy-an-introduction?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=2&results_level=second-level-results&term=&objectID=course-02d007b2-609c-4526-af7e-f9962458aaa8&campaign=Circular+Economy%3A+An+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–6 hours per week,Starts Jul 24,70386,Self-paced,96,Business & Management
458,Introducción a Matemáticas para Finanzas y Negocios,Tecnológico de Monterrey,https://www.edx.org/learn/finance/tecnologico-de-monterrey-introduccion-a-matematicas-para-finanzas-y-negocios?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=3&results_level=second-level-results&term=&objectID=course-08ec8100-90a5-489d-9030-6108e622c778&campaign=Introducci%C3%B3n+a+Matem%C3%A1ticas+para+Finanzas+y+Negocios&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,5–8 hours per week,Starts Jul 24,21993,Self-paced,46,Economics & Finance
459,Digital Humanities in Practice: From Research Questions…,Harvard University,https://www.edx.org/learn/metadata/harvard-university-digital-humanities-in-practice-from-research-questions-to-results?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=4&results_level=second-level-results&term=&objectID=course-2d87cc8a-d13a-412e-89d8-f33a10de75c2&campaign=Digital+Humanities+in+Practice%3A+From+Research+Questions+to+Results&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,2–3 hours per week,Starts Jul 24,0,Self-paced,170,Humanities
460,Introducción a la inversión bursátil,Universitat Politècnica de Va…,https://www.edx.org/learn/stocks/universitat-politecnica-de-valencia-introduccion-a-la-inversion-bursatil?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=5&results_level=second-level-results&term=&objectID=course-ee542ade-2550-45ab-b06a-9316676a90bb&campaign=Introducci%C3%B3n+a+la+inversi%C3%B3n+burs%C3%A1til&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,3–4 hours per week,Starts Jul 24,103056,Self-paced,30,Economics & Finance
461,Introduction to Jenkins,The Linux Foundation,https://www.edx.org/learn/computer-science/the-linux-foundation-introduction-to-jenkins?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=6&results_level=second-level-results&term=&objectID=course-9713803b-efde-49b8-b823-8235ef0c7375&campaign=Introduction+to+Jenkins&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,2–3 hours per week,Starts Jul 24,24367,Self-paced,147,Computer Science
462,Public Financial Management,The International Monetary…,https://www.edx.org/learn/financial-management/the-international-monetary-fund-public-financial-management?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=7&results_level=second-level-results&term=&objectID=course-dcf8af73-467a-4e19-ae8c-b9a0a72e9f39&campaign=Public+Financial+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,4–5 hours per week,Starts Jul 24,43538,Self-paced,19,Economics & Finance
463,Digital Forensics Essentials (DFE),EC-Council,https://www.edx.org/learn/digital-forensics/ec-council-digital-forensics-essentials-dfe?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=8&results_level=second-level-results&term=&objectID=course-494f368e-13b6-48f6-bf5b-83f15ca0438f&campaign=Digital+Forensics+Essentials+%28DFE%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,16–24 hours per week,Starts Jul 24,0,Self-paced,100,Computer Science
464,Quantitative Biology Workshop,Massachusetts Institute of T…,https://www.edx.org/learn/biology/massachusetts-institute-of-technology-quantitative-biology-workshop?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=9&results_level=second-level-results&term=&objectID=course-37041f86-a1df-4023-8dc8-6f0b2463dbaf&campaign=Quantitative+Biology+Workshop&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,4–8 hours per week,Starts Jul 24,27261,Self-paced,77,Biology & Life Sciences
465,Marketing Digital: Desde SEO hasta Analítica de Datos,Universidades Anáhuac,https://www.edx.org/learn/digital-marketing/universidades-anahuac-marketing-digital-desde-seo-hasta-analitica-de-datos?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=10&results_level=second-level-results&term=&objectID=course-6d5be686-a896-48f4-8377-c160e936057a&campaign=Marketing+Digital%3A+Desde+SEO+hasta+Anal%C3%ADtica+de+Datos&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 24,0,Self-paced,38,Business & Management
466,Comunicación y Redacción Digital,Universidades Anáhuac,https://www.edx.org/learn/business-communications/universidades-anahuac-comunicacion-y-redaccion-digital?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=11&results_level=second-level-results&term=&objectID=course-1650b46d-97c0-464f-a978-9e7c06f16b75&campaign=Comunicaci%C3%B3n+y+Redacci%C3%B3n+Digital&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–4 hours per week,Starts Jul 24,29891,Self-paced,15,Communication
467,Introducción a SQL y bases de datos relacionales,Universitat Politècnica de Va…,https://www.edx.org/learn/sql/universitat-politecnica-de-valencia-introduccion-a-sql-y-bases-de-datos-relacionales?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=12&results_level=second-level-results&term=&objectID=course-3f849803-fde7-4da6-a302-70c8d33ab57b&campaign=Introducci%C3%B3n+a+SQL+y+bases+de+datos+relacionales&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–5 hours per week,Starts Jul 24,13048,Self-paced,30,Computer Science
468,Financial Accounting Made Fun: Eliminating Your Fears,Babson College,https://www.edx.org/learn/financial-accounting/babson-college-financial-accounting-made-fun-eliminating-your-fears?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=13&results_level=second-level-results&term=&objectID=course-39d318dd-7e7c-4460-b917-409c6e9f61e5&campaign=Financial+Accounting+Made+Fun%3A+Eliminating+Your+Fears&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,54195,Self-paced,193,Business & Management
469,Data Representation and Visualization in Tableau,Rochester Institute of Techn…,https://www.edx.org/learn/data-visualization/rochester-institute-of-technology-data-representation-and-visualization-in-tableau?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=14&results_level=second-level-results&term=&objectID=course-40e02c86-a59c-4e18-886a-a6d6e75aa081&campaign=Data+Representation+and+Visualization+in+Tableau&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,6–8 hours per week,Starts Jul 24,15977,Self-paced,193,Data Analysis & Statistics
470,Religious Literacy: Traditions and Scriptures,Harvard University,https://www.edx.org/learn/religion/harvard-university-religious-literacy-traditions-and-scriptures?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=15&results_level=second-level-results&term=&objectID=course-7327b879-237f-4682-9e7e-6c458ef94bc9&campaign=Religious+Literacy%3A+Traditions+and+Scriptures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–10 hours per week,Starts Jul 24,118040,Self-paced,116,Humanities
471,Fundamentals of Manufacturing Processes,Massachusetts Institute of T…,https://www.edx.org/learn/manufacturing/massachusetts-institute-of-technology-fundamentals-of-manufacturing-processes?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=16&results_level=second-level-results&term=&objectID=course-fad3ebe3-b29b-4cea-a629-3122790ddbb8&campaign=Fundamentals+of+Manufacturing+Processes&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,14 weeks,4–6 hours per week,Started Jul 16,47534,Instructor-paced,116,Engineering
472,Financial Analysis for Decision Making,Babson College,https://www.edx.org/learn/financial-analysis/babson-college-financial-analysis-for-decision-making?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=17&results_level=second-level-results&term=&objectID=course-fff44379-c896-4b15-ab1d-b92f28acb789&campaign=Financial+Analysis+for+Decision+Making&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,51624,Self-paced,193,Business & Management
473,Macroeconomics: Theory and Policy,Indian Institute of Managem…,https://www.edx.org/learn/macroeconomics/indian-institute-of-management-bangalore-macroeconomics-theory-and-policy?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=18&results_level=second-level-results&term=&objectID=course-bc4f1420-ca20-48b6-880d-0ddde0f5c09f&campaign=Macroeconomics%3A+Theory+and+Policy&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–4 hours per week,Starts Jul 24,0,Self-paced,147,Economics & Finance
474,The Opioid Crisis in America,Harvard University,https://www.edx.org/learn/drugs/harvard-university-the-opioid-crisis-in-america?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=19&results_level=second-level-results&term=&objectID=course-a2e61c73-a1c2-4795-a501-c1a2d1fd919a&campaign=The+Opioid+Crisis+in+America&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–2 hours per week,Starts Jul 24,75786,Self-paced,116,Medicine
475,A-level Further Mathematics for Year 13 - Course 1: Differe…,Imperial College London,https://www.edx.org/learn/differential-equations/imperial-college-london-a-level-further-mathematics-for-year-13-course-1-differential-equations-further-integration-curve-sketching-complex-numbers-the-vector-product-and-further-matrices?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=20&results_level=second-level-results&term=&objectID=course-ca4d451e-2e01-42f4-a49e-d3e891ceb22e&campaign=A-level+Further+Mathematics+for+Year+13+-+Course+1%3A+Differential+Equations%2C+Further+Integration%2C+Curve+Sketching%2C+Complex+Numbers%2C+the+Vector+Product+and+Further+Matrices&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,2–4 hours per week,Starts Jul 24,0,Self-paced,54,Math
476,Matemáticas para la U,Universidad del Rosario,https://www.edx.org/learn/math/universidad-del-rosario-matematicas-para-la-u?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=21&results_level=second-level-results&term=&objectID=course-944f18f4-831f-4ba4-a1c4-bb32827b1c53&campaign=Matem%C3%A1ticas+para+la+U&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,7980,Self-paced,30,Math
477,Fundamentos del marketing digital,Universitat Politècnica de Va…,https://www.edx.org/learn/digital-marketing/universitat-politecnica-de-valencia-fundamentos-del-marketing-digital?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=22&results_level=second-level-results&term=&objectID=course-12c3f3bc-c149-44cd-b429-30f3843e7790&campaign=Fundamentos+del+marketing+digital&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,3–4 hours per week,Starts Jul 24,11689,Self-paced,35,Business & Management
478,Sustainable Energy: Design a Renewable Future,Delft University of Technology,https://www.edx.org/learn/sustainable-energy/delft-university-of-technology-sustainable-energy-design-a-renewable-future?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=23&results_level=second-level-results&term=&objectID=course-42a7217b-4b31-4db6-95b1-9c318a13cadd&campaign=Sustainable+Energy%3A+Design+a+Renewable+Future&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,9 weeks,6–8 hours per week,Starts Jul 24,40102,Self-paced,48,Engineering
479,"DevOps on AWS: Code, Build, and Test",Amazon Web Services,https://www.edx.org/learn/amazon-web-services-aws/amazon-web-services-devops-on-aws-code-build-and-test?index=product&queryID=f640ce76dd55f9604671e78e0abf0bf5&position=24&results_level=second-level-results&term=&objectID=course-a7da3532-e89b-4583-add2-ad8b5c1a4519&campaign=DevOps+on+AWS%3A+Code%2C+Build%2C+and+Test&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,2–4 hours per week,Starts Jul 24,7379,Self-paced,46,Computer Science
480,"Data Ethics, AI and Responsible Innovation",The University of Edinburgh,https://www.edx.org/learn/artificial-intelligence/the-university-of-edinburgh-data-ethics-ai-and-responsible-innovation?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=1&results_level=second-level-results&term=&objectID=course-1d64c2f6-8468-45a6-a948-fdbc3581a862&campaign=Data+Ethics%2C+AI+and+Responsible+Innovation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–4 hours per week,Starts Jul 24,12853,Self-paced,38,Computer Science
481,Herramientas de Inteligencia Artificial para la productividad. Más all…,Universitat Politècnica de València Universidad Galileo,https://www.edx.org/learn/artificial-intelligence/universitat-politecnica-de-valencia-herramientas-de-inteligencia-artificial-para-la-productividad-mas-alla-del-chatgpt?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=2&results_level=second-level-results&term=&objectID=course-470696d6-25f5-46b4-a05c-f44443d0f0fe&campaign=Herramientas+de+Inteligencia+Artificial+para+la+productividad.+M%C3%A1s+all%C3%A1+del+ChatGPT&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–5 hours per week,Starts Jul 24,0,Self-paced,38,Engineering
482,Shakespeare's Hamlet: The Ghost,Harvard University,https://www.edx.org/learn/shakespeare/harvard-university-shakespeare-s-hamlet-the-ghost?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=3&results_level=second-level-results&term=&objectID=course-2ee68576-f98f-4190-9113-60b543203cb4&campaign=Shakespeare%27s+Hamlet%3A+The+Ghost&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–7 hours per week,Starts Jul 24,53705,Self-paced,116,Humanities
483,Electric Cars: Introduction,Delft University of Technology,https://www.edx.org/learn/electric-cars/delft-university-of-technology-electric-cars-introduction?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=4&results_level=second-level-results&term=&objectID=course-84d1486b-5551-4a21-8610-1eb1b5870587&campaign=Electric+Cars%3A%C2%A0Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–5 hours per week,Starts Jul 24,81271,Self-paced,96,Engineering
484,Cell Biology: The Cytoskeleton and Cell Cycle,Massachusetts Institute of Tech…,https://www.edx.org/learn/cellular-biology/massachusetts-institute-of-technology-cell-biology-the-cytoskeleton-and-cell-cycle?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=5&results_level=second-level-results&term=&objectID=course-80bdc3fd-7029-4d22-aa2a-8a4b5fe4c166&campaign=Cell+Biology%3A+The+Cytoskeleton+and+Cell+Cycle&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–6 hours per week,Starts Jul 24,6241,Self-paced,77,Biology & Life Sciences
485,Computing in Python II: Control Structures,The Georgia Institute of Technol…,https://www.edx.org/learn/python/the-georgia-institute-of-technology-computing-in-python-ii-control-structures?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=6&results_level=second-level-results&term=&objectID=course-80a9dc0a-c757-4a98-bf12-f6828b5295c4&campaign=Computing+in+Python+II%3A+Control+Structures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,9–10 hours per week,Starts Jul 24,52939,Self-paced,147,Computer Science
486,Psicología Criminal,Universidades Anáhuac,https://www.edx.org/learn/psychology/universidades-anahuac-psicologia-criminal?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=7&results_level=second-level-results&term=&objectID=course-b1311ae4-c078-4367-b519-a2413f3cdc3b&campaign=Psicolog%C3%ADa+Criminal&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 24,0,Self-paced,38,Social Sciences
487,Lean Production,Technische Universität München,https://www.edx.org/learn/manufacturing/technische-universitat-munchen-lean-production?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=8&results_level=second-level-results&term=&objectID=course-00152a61-93ae-41e3-89fe-82a7fe1e3995&campaign=Lean+Production&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–4 hours per week,Starts Jul 24,75402,Self-paced,147,Business & Management
488,Introducción a la inteligencia emocional,Universidades Anáhuac,https://www.edx.org/learn/social-science/universidades-anahuac-introduccion-a-la-inteligencia-emocional?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=9&results_level=second-level-results&term=&objectID=course-f243add9-f755-4f16-a2cb-22c5c7785b1d&campaign=Introducci%C3%B3n+a+la+inteligencia+emocional&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 24,40202,Self-paced,30,Social Sciences
489,Climate Change: The Science and Global Impact,SDG Academy,https://www.edx.org/learn/climate-change/sdg-academy-climate-change-the-science-and-global-impact?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=10&results_level=second-level-results&term=&objectID=course-32779451-9094-45c8-9805-505bfe77ae02&campaign=Climate+Change%3A+The+Science+and+Global+Impact&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–4 hours per week,Starts Jul 24,34788,Self-paced,0,Energy & Earth Sciences
490,Nutrition and Cancer,Wageningen University & Resear…,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-cancer?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=11&results_level=second-level-results&term=&objectID=course-be59ab30-2dfa-42fa-8363-630c34e94019&campaign=Nutrition+and+Cancer&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,6–8 hours per week,Starts Jul 24,43997,Self-paced,147,Food & Nutrition
491,Abnormal Psychology,Doane University,https://www.edx.org/learn/abnormal-psychology/doane-university-abnormal-psychology?index=product&queryID=16a199ceaa1a63716cde66060aedd0cf&position=12&results_level=second-level-results&term=&objectID=course-f5b128a9-f596-4921-be81-d3362270e8d8&campaign=Abnormal+Psychology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,8–12 hours per week,Starts Jul 24,10962,Self-paced,92,Humanities
