,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
914,"¿Cómo planificar
viviendas verdes y
resilientes?",Inter-American Developmen…,https://www.edx.org/learn/climate-change/inter-american-development-bank-como-planificar-viviendas-verdes-y-resilientes?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=3&results_level=second-level-results&term=&objectID=course-ee45af01-fbf1-431c-b5b6-a22945644115&campaign=%C2%BFC%C3%B3mo+planificar+viviendas+verdes+y+resilientes%3F&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,1–5 hours per week,Starts Jul 27,0,Self-paced,£8,Environmental Studies
915,"Sprint Planning for
Faster Agile Team
Delivery","The University of Maryland,
College Park…",https://www.edx.org/learn/agile/the-university-of-maryland-college-park-sprint-planning-for-faster-agile-team-delivery?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=4&results_level=second-level-results&term=&objectID=course-5236b816-deac-4a69-9586-96ca0f4dad2a&campaign=Sprint+Planning+for+Faster+Agile+Team+Delivery&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,18689,Self-paced,£193,Engineering
916,"Introduction to
Generative AI",Pragmatic AI Labs,https://www.edx.org/learn/computer-science/pragmatic-ai-labs-introduction-to-generative-ai?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=5&results_level=second-level-results&term=&objectID=course-f3355ea1-0dc9-445c-a494-88328c8d5522&campaign=Introduction+to+Generative+AI&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,3–6 hours per week,Starts Jul 27,0,Self-paced,£349,Computer Science
917,"Secure Software
Development:
Requirements, Desig…",The Linux Foundation,https://www.edx.org/learn/software-development/the-linux-foundation-secure-software-development-requirements-design-and-reuse?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=6&results_level=second-level-results&term=&objectID=course-8ab53c78-aaff-42b6-b135-ea8d082409d8&campaign=Secure+Software+Development%3A+Requirements%2C+Design%2C+and+Reuse&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,1–2 hours per week,Starts Jul 27,5933,Self-paced,£193,Computer Science
918,"Unix Tools: Data,
Software and
Production Engineer…",Delft University of Technolo…,https://www.edx.org/learn/unix/delft-university-of-technology-unix-tools-data-software-and-production-engineering?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=7&results_level=second-level-results&term=&objectID=course-21a8259b-3c0f-4bc7-b478-edf58b8fbb90&campaign=Unix+Tools%3A+Data%2C+Software+and+Production+Engineering&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,7072,Self-paced,£39,Computer Science
919,"PM4R Agile:
mentalidad ágil en
proyectos de desarr…",Inter-American Developmen…,https://www.edx.org/learn/agile/inter-american-development-bank-pm4r-agile-mentalidad-agil-en-proyectos-de-desarrollo?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=8&results_level=second-level-results&term=&objectID=course-e81950fb-2371-4967-ab23-ce69ffec155f&campaign=PM4R+Agile%3A+mentalidad+%C3%A1gil+en+proyectos+de+desarrollo&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–2 hours per week,Starts Jul 27,9449,Self-paced,£15,Business & Management
920,"Genetic Models for
Animal Breeding",Wageningen University & Re…,https://www.edx.org/learn/animal-breeding/wageningen-university-research-genetic-models-for-animal-breeding?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=9&results_level=second-level-results&term=&objectID=course-83fe6f4d-2509-4d94-a10a-649882b582d5&campaign=Genetic+Models+for+Animal+Breeding&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,17649,Self-paced,£147,Biology & Life Sciences
921,"Introduction to
Backstage: Developer
Portals Made Easy",The Linux Foundation,https://www.edx.org/learn/computer-programming/the-linux-foundation-introduction-to-backstage-developer-portals-made-easy?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=10&results_level=second-level-results&term=&objectID=course-f01ec2d2-f845-4256-974b-69abf05e1150&campaign=Introduction+to+Backstage%3A+Developer+Portals+Made+Easy&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,1–2 hours per week,Starts Jul 27,0,Self-paced,£147,Computer Science
922,"Sikhism Through Its
Scriptures",Harvard University,https://www.edx.org/learn/sikhism/harvard-university-sikhism-through-its-scriptures?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=11&results_level=second-level-results&term=&objectID=course-19e9fb79-a26b-403d-ace9-90b55f9d1573&campaign=Sikhism+Through+Its+Scriptures&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–10 hours per week,Starts Jul 27,52224,Self-paced,£116,Humanities
923,"Electric and
Conventional Vehicles",Chalmers University of Tech…,https://www.edx.org/learn/engineering/chalmers-university-of-technology-electric-and-conventional-vehicles?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=12&results_level=second-level-results&term=&objectID=course-1428ed1b-d1c4-4a23-9b8c-cb9b858bfecb&campaign=Electric+and+Conventional+Vehicles&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,10–20 hours per week,Starts Jul 27,30839,Self-paced,£193,Engineering
924,"Cuidado al adulto
mayor: una mirada al
envejecimiento",Pontificia Universidad Javer…,https://www.edx.org/learn/medicine/pontificia-universidad-javeriana-cuidado-al-adulto-mayor-una-mirada-al-envejecimiento?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=13&results_level=second-level-results&term=&objectID=course-e05d9556-45f0-4be8-9778-d59418bc19d7&campaign=Cuidado+al+adulto+mayor%3A+una+mirada+al+envejecimiento&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,8–10 hours per week,Starts Jul 27,19444,Self-paced,£38,Health & Safety
925,"Lifestyle Medicine
Treatments of Chronic
Disease – Part 1",Doane University,https://www.edx.org/learn/medicine/doane-university-lifestyle-medicine-treatments-of-chronic-disease-part-1?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=14&results_level=second-level-results&term=&objectID=course-8731a264-4586-4e11-8750-ae7fcf0dc5c2&campaign=Lifestyle+Medicine+Treatments+of+Chronic+Disease+%E2%80%93+Part+1&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,2 weeks,10–15 hours per week,Starts Jul 27,11435,Self-paced,£170,Medicine
926,Planetary Boundaries,SDG Academy,https://www.edx.org/learn/space/sdg-academy-planetary-boundaries?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=15&results_level=second-level-results&term=&objectID=course-b3ca409d-ade4-43d1-b082-6ba89b3f9103&campaign=Planetary+Boundaries&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–4 hours per week,Starts Jul 27,10278,Self-paced,£0,Energy & Earth Sciences
927,"Building a Lean
Startup",Davidson College,https://www.edx.org/learn/entrepreneurship/davidson-college-building-a-lean-startup?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=16&results_level=second-level-results&term=&objectID=course-a5980e83-aeca-426c-9447-cbd24cfd70b2&campaign=Building+a+Lean+Startup&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–10 hours per week,Starts Jul 27,0,Self-paced,£240,Business & Management
928,"Introduction to
Databases and SQL",Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-databases-and-sql?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=17&results_level=second-level-results&term=&objectID=course-723f35d3-cc8d-4506-9534-97dec30bf723&campaign=Introduction+to+Databases+and+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Education & Teacher Training
929,Cálculo Diferencial,Universidad Galileo,https://www.edx.org/learn/data-structures/universidad-galileo-calculo-diferencial?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=18&results_level=second-level-results&term=&objectID=course-4502ab02-2a8c-4741-b752-b4d1798014e6&campaign=C%C3%A1lculo+Diferencial&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,5–6 hours per week,Starts Jul 27,30058,Self-paced,£15,Computer Science
930,"Lean Six Sigma: Green
Belt Sustainability
Project",Technische Universität Mün…,https://www.edx.org/learn/business-administration/technische-universitat-munchen-lean-six-sigma-green-belt-sustainability-project?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=19&results_level=second-level-results&term=&objectID=course-b0490e8d-ddc0-4af1-b9d5-90cc6c7414a4&campaign=Lean+Six+Sigma%3A+Green+Belt+Sustainability+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,20 weeks,4–5 hours per week,Starts Jul 27,0,Self-paced,£621,Business & Management
931,"DevOps and Software
Engineering Capstone
Project",IBM,https://www.edx.org/learn/devops/ibm-devops-and-software-engineering-capstone-project?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=20&results_level=second-level-results&term=&objectID=course-6de82d18-2a87-4ac6-959d-e87e936dbd74&campaign=DevOps+and+Software+Engineering+Capstone+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,8–10 hours per week,Starts Jul 27,0,Self-paced,£38,Computer Science
932,"An Introduction to
Computer Networking
for Teachers",Raspberry Pi Foundation,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-an-introduction-to-computer-networking-for-teachers?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=21&results_level=second-level-results&term=&objectID=course-3f979ab9-13b0-418d-8266-36cf01c1cec3&campaign=An+Introduction+to+Computer+Networking+for+Teachers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Education & Teacher Training
933,"Quantitative
Marketing Research",Indian Institute of Managem…,https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-quantitative-marketing-research?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=22&results_level=second-level-results&term=&objectID=course-2d2f6edf-3715-4056-a7b0-226ef76ca23d&campaign=Quantitative+Marketing+Research&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–4 hours per week,Starts Jul 27,10889,Self-paced,£147,Business & Management
934,"Cannabis Cultivation
and Processing",Doane University,https://www.edx.org/learn/cannabis/doane-university-cannabis-cultivation-and-processing?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=23&results_level=second-level-results&term=&objectID=course-b751afc5-0769-4c54-abcb-569de2b7472a&campaign=Cannabis+Cultivation+and+Processing&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,3 weeks,5–10 hours per week,Starts Jul 27,20224,Self-paced,£170,Environmental Studies
935,"Comunicación
efectiva en inglés
jurídico",Universidad del Rosario,https://www.edx.org/learn/law/universidad-del-rosario-comunicacion-efectiva-en-ingles-juridico?index=product&queryID=c2a6204acf5265d6e569671afb98bcc9&position=24&results_level=second-level-results&term=&objectID=course-536e3385-3948-47a3-a186-6b8d584ec52f&campaign=Comunicaci%C3%B3n+efectiva+en+ingl%C3%A9s+jur%C3%ADdico&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£30,Communication
936,"Changing Behaviour
for Sustainable
Development",SDG Academy,https://www.edx.org/learn/human-behavior/sdg-academy-changing-behaviour-for-sustainable-development?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=1&results_level=second-level-results&term=&objectID=course-7f4026ba-287a-462b-87c1-c65b79f6630c&campaign=Changing+Behaviour+for+Sustainable+Development&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£0,Social Sciences
937,"Strategic Account
Management",Queen’s University,https://www.edx.org/learn/strategic-management/queens-university-strategic-account-management?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=2&results_level=second-level-results&term=&objectID=course-675367d5-bee8-49ab-a83b-84f7e3fac986&campaign=Strategic+Account+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,14171,Self-paced,£147,Business & Management
938,"Steps in Japanese for
Beginners1 Part2",Waseda University,https://www.edx.org/learn/japanese/waseda-university-steps-in-japanese-for-beginners1-part2?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=3&results_level=second-level-results&term=&objectID=course-b51a22dc-638f-4490-9300-1e5f3083f9cd&campaign=Steps+in+Japanese+for+Beginners1+Part2&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 27,15917,Self-paced,£100,Language
939,"Mathematics 1 Part 2:
Integral calculus,
algebra, and applica…",The London School of Econ…,https://www.edx.org/learn/math/the-london-school-of-economics-and-political-science-mathematics-1-part-2-integral-calculus-algebra-and-applications?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=4&results_level=second-level-results&term=&objectID=course-7b456c49-5b9a-4ff5-bdf0-eaeceaa82d44&campaign=Mathematics+1+Part+2%3A+Integral+calculus%2C+algebra%2C+and+applications&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,12–15 hours per week,Starts Jul 27,0,Self-paced,£155,Math
940,"Lean Six Sigma Black
Belt Certification Part
1: Basic Improvemen…",Juran,https://www.edx.org/learn/six-sigma/juran-lean-six-sigma-black-belt-certification-part-1-basic-improvement-define-and-measure?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=5&results_level=second-level-results&term=&objectID=course-2f2bfe43-fa94-4572-92fd-ecbfcb9d4e45&campaign=Lean+Six+Sigma+Black+Belt+Certification+Part+1%3A+Basic+Improvement%2C+Define+and+Measure&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,2–6 hours per week,Starts Jul 27,0,Self-paced,£97,Business & Management
941,"Revenue Forecasting
and Analysis",The International Monetary…,https://www.edx.org/learn/finance/the-international-monetary-fund-revenue-forecasting-and-analysis?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=6&results_level=second-level-results&term=&objectID=course-6272a8ba-5bef-495e-a3f9-fae6abd47ed0&campaign=Revenue+Forecasting+and+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,3–4 hours per week,Starts Jul 27,7486,Self-paced,£19,Economics & Finance
942,Implant Dentistry,The University of Hong Kong,https://www.edx.org/learn/dentistry/university-of-hong-kong-implant-dentistry?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=7&results_level=second-level-results&term=&objectID=course-48ba320c-b9fa-4761-9fc4-a0fbac228528&campaign=Implant+Dentistry&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,2–5 hours per week,Starts Jul 27,11505,Self-paced,£116,Medicine
943,"Probabilidad y
estadística",Universidad del Rosario,https://www.edx.org/learn/probability/universidad-del-rosario-probabilidad-y-estadistica?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=8&results_level=second-level-results&term=&objectID=course-1849c725-ba9b-46e3-8320-1fa612705b63&campaign=Probabilidad+y+estad%C3%ADstica&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£30,Math
944,"Building Your Career
in Music: Developing a
Brand and Funding",Berklee College of Music,https://www.edx.org/learn/music-business/berklee-college-of-music-building-your-career-in-music-developing-a-brand-and-funding?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=9&results_level=second-level-results&term=&objectID=course-f9cb03af-7f13-4ee2-8359-a17d29b754f9&campaign=Building+Your+Career+in+Music%3A+Developing+a+Brand+and+Funding&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,2–4 hours per week,Starts Jul 27,0,Self-paced,£46,Music
945,"Introduction to
Bayesian Statistics
Using R",University of Canterbury,https://www.edx.org/learn/r-programming/university-of-canterbury-introduction-to-bayesian-statistics-using-r?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=10&results_level=second-level-results&term=&objectID=course-6fb00ff0-9a64-4f7e-a559-4be3babbe116&campaign=Introduction+to+Bayesian+Statistics+Using+R&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,5–10 hours per week,Starts Jul 27,0,Self-paced,£131,Data Analysis & Statistics
946,"'Talk to me': Improving
mental health and
suicide prevention in…",Curtin University,https://www.edx.org/learn/mental-health/curtin-university-talk-to-me-improving-mental-health-and-suicide-prevention-in-young-adults?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=11&results_level=second-level-results&term=&objectID=course-af93e0a5-c0d3-4ca6-a291-8a26864cea43&campaign=%27Talk+to+me%27%3A+Improving+mental+health+and+suicide+prevention+in+young+adults&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,22693,Self-paced,£116,Health & Safety
947,"Recruiting and
Selecting the Right
Person",University of Canterbury,https://www.edx.org/learn/human-resources/university-of-canterbury-recruiting-and-selecting-the-right-person?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=12&results_level=second-level-results&term=&objectID=course-8dd41aac-fde3-4ad1-b18a-9138402bd377&campaign=Recruiting+and+Selecting+the+Right+Person&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,6–8 hours per week,Starts Jul 27,5539,Self-paced,£131,Business & Management
948,"Planning for Risk and
Retirement",Indiana University,https://www.edx.org/learn/risk-management/indiana-university-planning-for-risk-and-retirement?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=13&results_level=second-level-results&term=&objectID=course-689aaf64-fa16-491c-9a34-95efa17b3760&campaign=Planning+for+Risk+and+Retirement&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£155,Economics & Finance
949,"Animal Behaviour in
Conservation",Wageningen University & Re…,https://www.edx.org/learn/animal-behavior/wageningen-university-research-animal-behaviour-in-conservation?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=14&results_level=second-level-results&term=&objectID=course-5f6bd54e-6c64-4310-9ef6-558673e0e74b&campaign=Animal+Behaviour+in+Conservation&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£131,Biology & Life Sciences
950,"Tech for Good: The
Role of ICT in
Achieving the SDGs",SDG Academy,https://www.edx.org/learn/technology/sdg-academy-tech-for-good-the-role-of-ict-in-achieving-the-sdgs?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=15&results_level=second-level-results&term=&objectID=course-efc25613-f0ea-4423-bfcd-4d94c317f085&campaign=Tech+for+Good%3A+The+Role+of+ICT+in+Achieving+the+SDGs&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,3–5 hours per week,Starts Jul 27,11069,Self-paced,£0,Communication
951,"MLOps1 (Azure):
Deploying AI & ML
Models in Productio…",Statistics.com,https://www.edx.org/learn/azure/statistics-com-mlops1-azure-deploying-ai-ml-models-in-production-using-microsoft-azure-machine-learning?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=16&results_level=second-level-results&term=&objectID=course-fcf0916a-cb14-48fa-9fc5-9f0b2b09554b&campaign=MLOps1+%28Azure%29%3A+Deploying+AI+%26+ML+Models+in+Production+using+Microsoft+Azure+Machine+Learning&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–7 hours per week,Starts Jul 27,0,Self-paced,£186,Computer Science
952,"Leer y escribir en la
universidad",Universidad del Rosario,https://www.edx.org/learn/writing/universidad-del-rosario-leer-y-escribir-en-la-universidad?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=17&results_level=second-level-results&term=&objectID=course-cfdbd08c-3026-476f-b0bb-d9881eaea163&campaign=Leer+y+escribir+en+la+universidad&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,1 weeks,4–6 hours per week,Starts Jul 27,0,Self-paced,£30,Communication
953,"Datos para la
efectividad de las
políticas públicas",Inter-American Developmen…,https://www.edx.org/learn/public-policy/inter-american-development-bank-datos-para-la-efectividad-de-las-politicas-publicas?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=18&results_level=second-level-results&term=&objectID=course-86ff5e27-e00f-45a9-8bf7-b64475157310&campaign=Datos+para+la+efectividad+de+las+pol%C3%ADticas+p%C3%BAblicas&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,3–4 hours per week,Starts Jul 27,90373,Self-paced,£19,Data Analysis & Statistics
954,"Energy Demand in
Buildings",Delft University of Technolo…,https://www.edx.org/learn/architecture/delft-university-of-technology-energy-demand-in-buildings?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=19&results_level=second-level-results&term=&objectID=course-2d60ec65-362a-4219-b18c-ea5da4a579ff&campaign=Energy+Demand+in+Buildings&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–6 hours per week,Starts Jul 27,10250,Self-paced,£108,Architecture
955,"Micro and
Nanofabrication
(MEMS)",École polytechnique fédéral…,https://www.edx.org/learn/engineering/ecole-polytechnique-federale-de-lausanne-micro-and-nanofabrication-mems?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=20&results_level=second-level-results&term=&objectID=course-5f1fc2f5-69f7-4ae0-aa83-c329a75bd424&campaign=Micro+and+Nanofabrication+%28MEMS%29&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–5 hours per week,Starts Jul 27,21406,Self-paced,£193,Engineering
956,Consumer Behaviour,Indian Institute of Managem…,https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-consumer-behaviour?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=21&results_level=second-level-results&term=&objectID=course-9721a0bb-c9bb-46e1-8b96-be7069b3b96a&campaign=Consumer+Behaviour&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–4 hours per week,Starts Jul 27,10468,Self-paced,£116,Business & Management
957,"Copyright Law in the
Music Business",Berklee College of Music,https://www.edx.org/learn/music-business/berklee-college-of-music-copyright-law-in-the-music-business?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=22&results_level=second-level-results&term=&objectID=course-61b300e3-4e6c-4f75-bb02-09493091dfd6&campaign=Copyright+Law+in+the+Music+Business&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,3–5 hours per week,Starts Jul 27,0,Self-paced,£46,Business & Management
958,"Let’s Get Personal:
Working with
Personality Type","The University of Maryland,
College Park…",https://www.edx.org/learn/business-communications/the-university-of-maryland-college-park-lets-get-personal-working-with-personality-type?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=23&results_level=second-level-results&term=&objectID=course-c322f751-6fc4-4975-a416-11d73ed9c263&campaign=Let%E2%80%99s+Get+Personal%3A+Working+with+Personality+Type&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,2–3 hours per week,Starts Jul 27,11158,Self-paced,£193,Business & Management
959,"Fundamentals of
Biomedical Imaging:
Ultrasounds, X-ray,…",École polytechnique fédéral…,https://www.edx.org/learn/biomedical-imaging/ecole-polytechnique-federale-de-lausanne-fundamentals-of-biomedical-imaging-ultrasounds-x-ray-positron-emission-tomography-pet-and-applications?index=product&queryID=a756cd794016fde4467a8cef0e4b394f&position=24&results_level=second-level-results&term=&objectID=course-6dd8eb19-0db8-4a2a-bdf3-a782baace070&campaign=Fundamentals+of+Biomedical+Imaging%3A+Ultrasounds%2C+X-ray%2C+positron+emission+tomography+%28PET%29+and+applications&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,4–5 hours per week,Starts Jul 27,16986,Self-paced,£162,Engineering
960,"Strategic Brand
Management",Curtin University,https://www.edx.org/learn/branding/curtin-university-strategic-brand-management?index=product&queryID=f8f4ba48131f23d278a46ea9f1a2b83a&position=1&results_level=second-level-results&term=&objectID=course-12213317-dfd0-4bdc-b381-0797a0eeffc2&campaign=Strategic+Brand+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,8–10 hours per week,Started Jul 16,34822,Instructor-paced,£155,Communication
961,"Protecting Children in
Humanitarian Settings",Columbia University,https://www.edx.org/learn/childrens-rights/columbia-university-protecting-children-in-humanitarian-settings?index=product&queryID=f8f4ba48131f23d278a46ea9f1a2b83a&position=2&results_level=second-level-results&term=&objectID=course-7c0709a4-da5e-416c-9416-962d5284dd6e&campaign=Protecting+Children+in+Humanitarian+Settings&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,12 weeks,3–5 hours per week,Starts Jul 27,13975,Self-paced,£39,Social Sciences
962,"Services Marketing:
Concepts &
Applications",Indian Institute of Managem…,https://www.edx.org/learn/marketing/indian-institute-of-management-bangalore-services-marketing-concepts-applications?index=product&queryID=f8f4ba48131f23d278a46ea9f1a2b83a&position=3&results_level=second-level-results&term=&objectID=course-811072fc-73f6-4180-951b-2d60c45dbbc7&campaign=Services+Marketing%3A+Concepts+%26+Applications&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,3–5 hours per week,Starts Jul 27,0,Self-paced,£147,Business & Management
963,"Fixed Income Portfolio
Management",New York Institute of Finance,https://www.edx.org/learn/portfolio-management/new-york-institute-of-finance-fixed-income-portfolio-management?index=product&queryID=f8f4ba48131f23d278a46ea9f1a2b83a&position=4&results_level=second-level-results&term=&objectID=course-a113e682-3ebc-4f52-8fd6-0157c9b3e529&campaign=Fixed+Income+Portfolio+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,0,Self-paced,£155,Economics & Finance
964,"Introduction to
Hyperledger
Blockchain Technolo…",The Linux Foundation,https://www.edx.org/learn/hyperledger/the-linux-foundation-introduction-to-hyperledger-blockchain-technologies?index=product&queryID=f8f4ba48131f23d278a46ea9f1a2b83a&position=5&results_level=second-level-results&term=&objectID=course-95c27f23-9062-4959-9673-de788e07873d&campaign=Introduction+to+Hyperledger+Blockchain+Technologies&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,10 weeks,2–4 hours per week,Starts Jul 27,151701,Self-paced,£147,Business & Management
