,course,provider,link,course_length,time_commitment,start_date,current_enrollment,pace,price,subject
33,"Human Anatomy:
Musculoskeletal
Cases",Harvard University,https://www.edx.org/learn/human-anatomy/harvard-university-human-anatomy-musculoskeletal-cases?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=10&results_level=second-level-results&term=&objectID=course-20574fb6-99b9-44cf-afa5-473d8337c7a8&campaign=Human+Anatomy%3A+Musculoskeletal+Cases&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,3–6 hours per week,Starts Jul 27,281275,Self-paced,£162,Medicine
34,Computer Science 101,Stanford University,https://www.edx.org/learn/computer-science/stanford-university-computer-science-101?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=11&results_level=second-level-results&term=&objectID=course-05f61d04-5acc-452b-9c34-6d447af6437f&campaign=Computer+Science+101&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,6 weeks,4–6 hours per week,Starts Jul 27,225049,Self-paced,£193,Computer Science
35,"Data Science: R
Basics",Harvard University,https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=12&results_level=second-level-results&term=&objectID=course-91f52ef3-fa3f-4934-9d19-8d5a32635cd4&campaign=Data+Science%3A+R+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,8 weeks,1–2 hours per week,Starts Jul 27,884562,Self-paced,£170,Data Analysis & Statistics
36,"Fundamentals of
Neuroscience, Part 1:
The Electrical Proper…",Harvard University,https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=13&results_level=second-level-results&term=&objectID=course-f8042b37-6a21-4afa-b9e2-6f51dcd694db&campaign=Fundamentals+of+Neuroscience%2C+Part+1%3A+The+Electrical+Properties+of+the+Neuron&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,3–5 hours per week,Starts Jul 27,604858,Self-paced,£193,Biology & Life Sciences
37,"Business Writing
Techniques",Doane University,https://www.edx.org/learn/business-communications/doane-university-business-writing-techniques?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=14&results_level=second-level-results&term=&objectID=course-9d815fc9-480d-417d-95c6-3d7a5193c77a&campaign=Business+Writing+Techniques&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,5–8 hours per week,Starts Jul 27,41868,Self-paced,£116,Communication
38,"CS50's Introduction to
Databases with SQL",Harvard University,https://www.edx.org/learn/sql/harvard-university-cs50-s-introduction-to-databases-with-sql?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=15&results_level=second-level-results&term=&objectID=course-3e45c431-10df-423e-9f03-fb98b713cd4a&campaign=CS50%27s+Introduction+to+Databases+with+SQL&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,7 weeks,6–12 hours per week,Starts Jul 27,61360,Self-paced,£0,Computer Science
39,"AI for Everyone:
Master the Basics",IBM,https://www.edx.org/learn/artificial-intelligence/ibm-ai-for-everyone-master-the-basics?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=16&results_level=second-level-results&term=&objectID=course-f11c9289-596e-4c46-a9cb-318052f259ae&campaign=AI+for+Everyone%3A+Master+the+Basics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,1–2 hours per week,Starts Jul 27,180701,Self-paced,£77,Computer Science
40,"Machine Learning
with Python: A
Practical Introduction",IBM,https://www.edx.org/learn/machine-learning/ibm-machine-learning-with-python-a-practical-introduction?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=17&results_level=second-level-results&term=&objectID=course-34ea79ed-b0c4-4a12-aeb6-64a5b507607a&campaign=Machine+Learning+with+Python%3A+A+Practical+Introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,5 weeks,4–6 hours per week,Starts Jul 27,176546,Self-paced,£77,Data Analysis & Statistics
41,Google AI for Anyone,Google,https://www.edx.org/learn/artificial-intelligence/google-google-ai-for-anyone?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=18&results_level=second-level-results&term=&objectID=course-93a42838-e9c4-4c72-8943-af75e3c5fb89&campaign=Google+AI+for+Anyone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,2–3 hours per week,Starts Jul 27,78547,Self-paced,£232,Computer Science
42,"Inglés para todos:
nivel básico",Universidad del Rosario,https://www.edx.org/learn/language/universidad-del-rosario-ingles-para-todos-nivel-basico?index=product&queryID=79bf8e933deaaf235dbf15c095f60caf&position=19&results_level=second-level-results&term=&objectID=course-3fa209ce-db34-44a6-93a5-dcb74507d38e&campaign=Ingl%C3%A9s+para+todos%3A+nivel+b%C3%A1sico&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch,4 weeks,4–6 hours per week,Starts Jul 27,216821,Self-paced,£38,Language
